Distance from Tangos Halo			x			y			z			vx			vy			vz			Mean [Fe/H]			Mean Tform			Total Stellar Mass			Half-light radius			Simulation			Output Number			Tangos Halo ID			Internal ID			Count ID			
kpc			kpc			kpc			kpc			km s**-1			km s**-1			km s**-1			dec			Myr			log10(msol)			pc			N/A			N/A			N/A			N/A			N/A			
0.160507910021143           0.03431821787887332         -0.12437399018700879            0.09547858223729366         1.0544857588085867          6.9949709555546065          2.9530141203980245          -2.038905837547022          657.5256539582758           4.017940531298374           3.7366004695185846          Halo624_fiducial_hires          00017           0           2           18          
0.20002796080590665         0.059273594371734364            -0.17567981595693255            0.07506282954675952         6.296500672712073           -2.9538904960098282         2.807674681210776           -2.5869455756908244         646.9892682535445           4.441764945608911           1.2440246366159757          Halo624_fiducial_hires          00017           0           4           21          
0.3314952258390288          -0.27773638517568805            0.16961495463699197         -0.06310588139785978            -5.021242140249188          -2.4879639474351087         -2.621814918819115          -2.324622696888548          802.8328433107989           3.608814886252702           4.078892414957608           Halo624_fiducial_hires          00022           1           5           22          
0.2652692678596471          -0.25726351004347564            0.041694732879372726            -0.04944512231622866            -1.5047814562435056         -3.137210507681876          -3.8713617896688266         -2.4742467771596677         769.6649339379146           3.532427169251471           0.7980120992444142          Halo624_fiducial_hires          00021           1           6           23          
0.34973426847026073         -0.321569845946063          0.08444436467198102         -0.10851747322794836            7.554308000617993           -4.948833379812821          -2.7457794819418897         -2.512524163318508          743.4764511604504           3.4852283754654274          0.4993930754397062          Halo624_fiducial_hires          00021           1           7           24          
0.44839968587220036         0.35378799218442836         -0.27532303406532527            -0.009672734352420775           6.927279027097198           -5.514568717376924          -0.6241698286011516         -2.251271215922067          1253.19708717787            4.178349666491957           13.132812478723691          Halo624_fiducial_hires          00032           0           8           25          
0.3353087769641938          -0.019809863871420964           0.31438152460818686         -0.11490779863875442            -0.7828442238725292         15.454760289590205          1.0900705710965495          -1.9886827019282736         908.508626834191            4.175296134295727           5.51701637250006            Halo624_fiducial_hires          00025           0           9           26          
0.003506002842016582            -3.2718517826177283e-05         -0.0028233548712646357          0.002078377419810868            -0.4407306974767536         -7.505979646050836          5.150674471819196           -2.5390486717992986         524.7436171506769           4.317664701148607           7.420816820186296           Halo624_fiducial_hires          00030           2           10          27          
0.005057737987300145            0.0032318741330527702           0.0038159900475875476           0.0007575771265692311           -0.6598600296386485         -0.49337611475692267            -0.12471383328410468            -2.3736594157284587         11094.765998418177          3.3246013844756703          6.530911928850233           Halo624_fiducial_hires          00118           0           15          28          
0.05452223781748437         -0.03888392800212159            -0.03794535943549446            0.004567740913738693            1.0125081736940182          7.481717696024713           -8.766436677259595          -2.305974957235834          747.1925459010364           4.418117396538981           0.6730150423361926          Halo605_fiducial_hires          00019           0           4           29          
0.291341642533739           -0.03798405085572654            -0.19141577849791247            0.2163265224072859          -0.14579086635563107            6.664263534783615           2.7650189373702148          -1.947249753587682          770.4518842088048           3.63349726104091            4.23227567610603            Halo605_fiducial_hires          00020           0           5           30          
0.21250824213891792         -0.008900972398867618           0.21196441138853184         0.012313162542733897            6.4452812413391545          16.4433927569018            -9.585123426678345          -2.6146706266932003         609.0863881928112           3.735482217238043           7.459251979797073           Halo605_fiducial_hires          00019           0           6           31          
0.1866114419064468          0.06843652013098368         0.16400385924926014         -0.05694740656200728            3.4939173036198814          1.5071544322841326          2.5875983303511307          -1.8575868165572191         756.4147468743427           3.959201590529981           2.9632547788169883          Halo605_fiducial_hires          00020           0           7           32          
0.11298225164340113         0.06137569231573252         0.07341907219692985         -0.06006374461157975            -14.677758524908288         -5.916432175824649          -6.100815237327938          -2.1058833023283956         755.4490212329704           3.4083655914109126          5.478977585011141           Halo605_fiducial_hires          00020           0           8           33          
0.3701234242518929          0.15878170815659057         0.32758082918667547         -0.06686193748212949            -3.397199497997303          7.254669993532091           -1.0428769676777234         -2.1327909466204806         763.5207974866594           4.308648577227345           3.787791067658782           Halo605_fiducial_hires          00020           0           13          34          
